Word,Ocurrences
que,86060
no,69709
de,56866
a,56755
y,39996
la,39135
lo,32838
me,30360
te,28640
el,27711
es,27133
qué,27003
en,24588
por,21384
un,20825
se,16019
con,15832
pero,15173
yo,14610
una,14077
si,12666
para,12161
sí,11752
ya,11688
los,11426
tú,10435
ha,9462
mi,9390
está,9255
las,9009
le,8178
tu,7814
eso,7485
aquí,7462
más,7247
he,7027
nada,7021
bien,6616
sé,6574
como,6384
todo,6342
al,5984
del,5879
porque,5712
esto,5672
vamos,5640
nos,5583
pues,5580
o,5471
muy,5435
voy,5372
va,5187
has,5181
vale,4944
cómo,4924
estás,4902
ahora,4832
bueno,4717
quiero,4690
tengo,4577
algo,4492
pasa,4488
su,4385
eh,4333
ver,4328
mí,4327
hay,4306
hacer,4302
así,4264
estoy,4126
ni,4059
tienes,3955
vas,3834
verdad,3829
ti,3619
tiene,3491
ser,3466
favor,3446
cuando,3435
esta,3433
sabes,3388
soy,3334
quieres,3248
eres,3110
mejor,3103
él,3025
puedo,2958
venga,2941
mucho,2900
claro,2896
solo,2858
ahí,2798
gracias,2793
todos,2771
mira,2762
este,2738
dos,2737
quién,2706
puede,2690
joder,2659
han,2599
vida,2589
también,2584
música,2573
puta,2551
os,2548
madre,2517
creo,2507
dónde,2457
hecho,2414
ese,2392
hola,2364
hasta,2306
ella,2261
vez,2261
esa,2255
siento,2226
hace,2221
era,2220
hijo,2197
casa,2188
sin,2164
padre,2152
ir,2149
nadie,2109
tenemos,2100
dicho,2085
estar,2045
cosas,2043
ah,2014
son,2013
hablar,1993
día,1990
poco,1904
tan,1845
iván,1832
siempre,1821
puedes,1806
tiempo,1795
tío,1782
estaba,1777
da,1776
nunca,1776
alguien,1762
sea,1749
parece,1749
estamos,1732
haces,1725
antes,1717
ríe,1710
mierda,1691
otra,1682
contigo,1661
están,1655
menos,1644
igual,1635
paula,1632
hombre,1600
decir,1587
luego,1577
días,1576
sido,1573
coño,1544
oye,1531
fue,1524
fuera,1514
mis,1510
momento,1500
puerta,1481
cosa,1468
pasado,1460
conmigo,1459
mañana,1458
hemos,1447
mismo,1428
otro,1416
mal,1412
tus,1386
seguro,1350
van,1343
marcos,1340
quiere,1339
colegio,1337
tener,1321
uno,1316
visto,1313
tal,1303
les,1301
desde,1276
quería,1266
papá,1257
saber,1256
años,1249
nosotros,1248
clase,1244
crees,1240
móvil,1237
salir,1233
entonces,1230
gente,1229
hija,1191
dinero,1180
dices,1172
noche,1169
necesito,1152
digo,1145
tres,1122
mujer,1119
podemos,1112
mamá,1100
sus,1093
tenía,1086
ay,1082
hoy,1062
martín,1052
hugo,1050
había,1039
tampoco,1035
policía,1030
mundo,1018
nemo,1016
toda,1012
suena,1009
dentro,1005
gusta,1003
espera,980
pasar,968
sabe,966
usted,959
vaya,956
profesor,955
dice,952
cara,952
unos,944
todas,933
entre,911
cuenta,909
trabajo,902
además,900
dar,899
estado,896
tanto,894
iba,890
dejar,889
sobre,885
después,881
suspira,870
cada,867
cabeza,862
veo,856
fer,852
ellos,851
muchas,844
hermano,840
haciendo,839
tarde,832
somos,830
dado,824
zulema,820
volver,819
chicos,808
padres,803
falta,802
familia,802
amor,795
idea,788
perdona,787
amigos,781
vosotros,778
anda,772
ven,772
haber,770
buena,766
juntos,763
aunque,762
entiendo,760
cojones,757
final,752
culpa,751
viene,746
serio,745
veces,744
teléfono,743
importa,743
buenos,743
será,743
sólo,742
razón,739
elsa,737
yoli,731
perdón,731
ves,729
problema,726
único,723
venido,722
maría,720
ayer,720
tía,719
tranquilo,717
miedo,716
importante,707
niño,705
dime,701
tienen,697
clara,697
venir,695
amigo,694
gorka,694
macarena,692
puto,692
héctor,691
donde,690
persona,688
queda,685
hago,684
hora,684
caso,680
unas,679
roque,677
cárcel,676
pasó,675
dios,664
mario,663
jacinta,659
fiesta,650
tranquila,650
niña,649
horas,649
sabía,647
dije,638
tenido,636
parte,631
irene,631
plan,628
deja,624
quien,618
déjame,615
samuel,615
ido,615
david,604
hermana,601
chica,600
tokio,595
buenas,594
habéis,591
algún,590
ruth,588
ningún,588
cariño,585
dejado,583
tensión,582
entrar,581
acuerdo,576
esos,576
muerto,575
digas,575
seguir,573
alguna,565
fin,565
hacerlo,562
toma,561
primera,560
fermín,558
puesto,557
preocupes,555
juro,554
blanca,550
hablando,549
coche,546
lado,544
mano,543
esas,543
novio,542
todavía,533
sitio,531
nuestro,530
julio,530
allí,527
llevo,526
vete,525
olimpia,525
pasando,525
encima,525
mío,523
haga,522
espero,521
primero,518
dijo,511
estáis,511
paz,510
internado,508
llora,506
inglés,506
buen,505
casi,505
minutos,503
poder,503
cinco,503
amelia,502
habla,500
ríen,500
señor,499
pensar,498
estos,498
estas,498
paso,497
mía,494
grita,494
daño,491
hagas,490
quedado,490
estabas,489
raquel,489
quieras,488
nuestra,488
sola,488
cuidado,487
tenéis,485
marina,485
aún,481
das,479
julia,479
euros,477
amiga,476
gustaría,475
cuándo,475
hijos,475
hubiera,473
fácil,473
tomar,473
teresa,471
cabano,471
fuerte,470
poner,468
ninguna,468
nuevo,468
guzmán,467
punto,464
chico,463
dame,461
raro,457
pena,457
pienso,456
cuánto,455
ayuda,454
ve,452
matar,452
resopla,450
verás,449
lucas,447
sabemos,446
nombre,445
manera,439
escúchame,438
román,438
culo,437
cualquier,437
contar,436
manos,436
llama,435
llegar,435
quedar,434
alma,434
podría,434
mucha,433
haya,432
contra,431
cuatro,431
fotos,429
hacemos,428
sería,427
última,427
tenías,424
normal,423
niños,421
peor,419
meses,419
hizo,419
vivir,418
alumnos,413
cama,413
agua,413
pueden,412
sigue,412
llamar,410
pensaba,409
habrá,408
pensando,408
vais,407
creer,407
triana,406
carlos,406
encontrado,406
buscando,403
poquito,403
ganas,401
habitación,401
timbre,398
supongo,398
querías,397
misma,395
cabrón,395
contado,393
única,392
delante,391
saray,389
corazón,388
tuyo,386
gilipollas,386
maca,385
bebé,385
feliz,385
vuelto,384
esté,383
baño,381
empezar,379
abajo,379
rato,378
suerte,378
hablado,374
llevar,373
oportunidad,373
diciendo,372
vi,368
omar,368
dijiste,368
